finding_id,plane_seq,epic,plane_id
P05-16,412,E15,9dc416dc-8d35-4778-8755-4a566c241055
P05-17,413,E8,8ce555f1-2b73-440a-85ab-acb4237e5403
P05-18,139,E7,29279c89-a70c-4fbb-b36f-980f9784ea05
P05-2,129,E6,763adb4a-3a78-4974-8d7d-2c2a6f160e90
P05-3,130,E12,8840b9da-1ee1-48b0-96ab-e1d170e974ce
P05-4,131,E10,08a2c23e-120b-433f-88f5-621db2c1729c
P05-5,132,E6,2e617712-fbf1-414a-9a88-9cd34ba9e5b4
P05-6,133,E8,25834b3e-f812-4c31-b4c3-8655f65159a7
P05-7,134,E8,d7937dc9-a4b2-4454-b18b-5cad5ee19b3b
P05-8,135,E6,0a7bbaca-9c4f-4b25-9a08-660eef1579f7
P05-9,136,E6,9c1886ad-0d9c-42d1-8849-cff047152a95
P06-1,140,E5,f7639658-c74c-4452-8609-5caf9a429017
P06-10,149,E10,6d13c163-f4b5-46bc-b0e0-7a2cc8065b74
P06-11,150,E8,2a15b12c-a6e7-40f5-8524-e4e172f2d191
P06-12,151,E10,56d547b9-d850-42ce-b45a-96ba3c4d72b8
P06-13,152,E4,af318692-ab46-4673-97f5-9e5ad65d202a
P06-14,153,E1,07f85a74-e726-4c57-be98-85807140e7d0
P06-15,154,E5,6e2c761c-c629-4ee7-ab87-9ef63fa2414e
P06-16,155,E10,8626de7b-0908-4ca5-a689-08f77ee24011
P06-17,156,E6,fd1e16a9-a6a4-4871-bf7b-5480ae56422b
P06-18,157,E10,48c1edb9-bfba-402e-b121-2e9cd2453ecd
P06-19,158,E7,194a8b47-0062-4b91-bea3-f396b1778b8c
P06-2,141,E5,3bf90aca-f522-414c-ad7e-a337b4076c57
P06-20,159,E13,c9357646-79bc-4cc6-b95b-b665a0931e70
P06-3,142,E5,dd4f889a-41f9-4f69-9280-f06bab8040df
P06-4,143,E5,a621387c-dc3c-475f-99c5-8c2eeb2f04e3
P06-5,144,E12,a80d73cb-6311-4488-b3fd-490440b162df
P06-6,145,E10,2ba5147f-4f31-4def-a411-303a2ae67019
P06-7,146,E4,9d52b428-e03d-45ad-8992-0f43fcd4a62c
P06-8,147,E11,ade93dcd-2968-4cde-8ed8-40bf6944ff56
P06-9,148,E1,d53a08e4-bb7e-469a-94e2-624fbaca3a02
P07-1,160,E1,4422b865-39b4-4dcf-991e-000948a18c15
P07-10,169,E1,ba6aec48-997e-4c04-8efd-6271bcac9c6c
P07-11,170,E1,681b07d3-521d-45b9-bf46-a083d0c3f18e
P07-12,171,E8,dc296187-060c-4787-af3d-94bc45f61e1f
P07-13,172,E3,a01d5b86-d47b-4faf-a6dc-f556c728a5a9
P07-14,173,E9,de23992a-6e4e-4ff6-8d61-c4960eae988d
P07-15,174,E2,e0ac0524-baff-47e3-bc5b-29704840cfef
P07-16,175,E13,c1bd7600-c4fb-4226-a8cd-b57c59a6e5fa
P07-17,414,E9,d778d713-42ed-4f3c-ba4e-e8d858c30f58
P07-18,415,E3,57b320cf-81ef-458f-a8ef-c9045cd1310d
P07-19,416,E14,b22b6290-fdad-49ab-a80c-f908eadf50e5
P07-2,161,E1,3f5452bc-d56c-4943-9f39-c6f193eca1dd
P07-20,417,E9,c13d9aef-e9a4-4421-98cb-9f5475810964
P07-21,418,E13,a0723d31-3dc2-4de8-91dd-bd225601ddde
P07-22,419,E14,6335c2b7-e28a-4d40-bc6f-503e9511b918
P07-3,162,E1,cbf617b1-cb2d-4866-9ef2-2e2e5af50ab0
P07-4,163,E3,6cc19e1e-6427-455d-ae03-dcbf8cf6fcec
P07-5,164,E2,b0e6d9a7-e783-4f54-af60-4eb48d79ec4b
P07-6,165,E9,5f2b8df2-69f1-4cf6-9673-5d787436711b
P07-7,166,E3,931c469a-6ae3-49ba-888d-a93ff3865d77
P07-8,167,E3,32d0bc1a-2eac-401e-b7ce-4c9d8b6d5f98
P07-9,168,E3,f893c721-af5b-4b72-99d0-22b281e83b8b
P08-1,420,E13,f21a9d73-8891-4965-829b-2c53b6c5dd90
P08-10,184,E13,09f62aef-85d1-4596-a5cb-98e363d62d28
P08-11,185,E13,9bea4470-a3ed-4290-9ed6-575ab5f58220
P08-12,186,E13,5516f4db-3d75-4e19-b0e5-a5345452e2c9
P08-13,187,E13,36d01cca-c5e2-4fff-84e2-db65391bf148
P08-14,188,E13,6e97a4b3-125d-4b99-a273-31fa9920f1b6
P08-15,189,E15,8278626e-0f46-4bd7-b0f7-a78623210a08
P08-16,190,E13,e8f78027-2237-43c7-8554-67ca6433fe8f
P08-17,191,E10,675a0b5c-63d0-464f-bac2-b96b03695bf5
P08-18,192,E13,77918e81-4e41-44e6-b522-8ba6e844311f
P08-19,193,E13,0126f996-8943-4709-8e17-b16116d9c801
P08-2,176,E13,2a3acce0-f11a-41c4-9ae6-ea3f3ef4b9fc
P08-20,194,E13,72b266f3-8121-4e22-b2fa-c4386c636a50
P08-3,177,E1,920cabf0-91b6-4e59-9b89-58affe7b4c6e
P08-4,178,E13,cf306be9-f143-4353-9cf7-a4efa2904390
P08-5,179,E13,13b48ce8-c080-47bc-8e5b-e4567b7693aa
P08-6,180,E13,05b7568d-24e8-4961-96a0-d60e7a901996
P08-7,181,E15,7d60df6c-6d18-4d45-a72d-b306a53fbefd
P08-8,182,E13,e18752ab-9b0a-4bac-a2d4-9e24d78a115c
P08-9,183,E15,2969e7c2-894f-4712-be92-4ee7abb0b3fa
P09-1,195,E5,aeb833ae-e85c-41ce-b4da-797fc1330625
P09-10,204,E14,790e75de-a9af-473f-88b3-12208f425791
P09-11,205,E1,2725b0cb-ff83-41ae-98af-530916084845
P09-12,206,E4,1ab6e284-f86f-41d4-9193-6a480af7ab22
P09-13,207,E11,ba3bf530-33de-4e3e-8880-9ddfdab0cecf
P09-14,208,E14,32ac356c-a1dd-411c-9124-a29a5ce82e80
P09-15,209,E5,6764ad99-f614-441e-9aa9-a9352b47bca5
P09-16,210,E11,55f2c9a4-307e-4852-b391-973b0fe96638
P09-17,211,E14,2eb4f1c7-d865-48ed-8f1a-6e678eeedcff
P09-18,421,E14,9b71dfc7-7847-42a7-ac88-516ce0b75c45
P09-19,422,E14,916a719f-bc17-42ae-9707-41ed8781aea3
P09-2,196,E5,32d4e5d9-e210-45a3-9f71-2401ba76e4e8
P09-20,423,E1,8ac15e7a-11e0-4160-97d4-c98ccfa44254
P09-3,197,E5,e5c2f43e-9cf8-472c-b98e-77eaf587d587
P09-4,198,E5,1be65dab-5ddd-48e8-a3d0-7be014923d9b
P09-5,199,E14,d4ddfea1-a61c-4477-ab8a-d6130427abb8
P09-6,200,E14,dcb5053c-68d6-4831-8c73-b85bb20c3da4
P09-7,201,E14,57e0bc79-7354-47ca-af40-6b19e787e400
P09-8,202,E8,0a80f0e7-d0d6-4b0a-804f-e1ca73367146
P09-9,203,E5,ed330cc1-0b79-4864-985f-3336d20f1d5a
P10-1,424,E7,c3bd7147-024f-4fba-bdcf-127b3f091e24
P10-10,217,E13,98a67d8b-4629-4e96-8db4-df58f91c323b
P10-11,218,E7,60bdbad7-fb59-4eeb-b374-2b818855cf90
P10-12,219,E10,213dd5cb-9238-4377-ab53-ec03613d1077
P10-13,220,E7,d3fc5fcb-fcd5-4414-a75b-a450163b1fcb
P10-14,221,E10,468c4d46-70b9-427a-8d32-fa2e8d44ddf6
P10-15,222,E10,7c0f3843-01ed-4e50-a04b-2348b3afc846
P10-16,223,E10,8cc8e681-e3c0-4b26-b4ae-6a40e22b9c64
P10-17,224,E10,a880b16f-ab2f-4466-a5b3-e44caf99e645
P10-18,225,E11,d9c17620-ea02-497c-96e0-20201c1cf80b
P10-2,425,E10,b6e9e840-675d-4617-89b1-25b560382e1a
P10-3,426,E10,cdae6a0d-11e9-4785-a5f7-bef4b406d49a
P10-4,427,E10,57118b88-ea69-4aef-b5b0-83077095531b
P10-5,212,E10,7e54ad86-62bf-4298-92cb-296c80688994
P10-6,213,E10,70e41a40-3b57-405e-9181-808fee55a5ac
P10-7,214,E10,50d6aa3c-f1a3-435a-ae02-a6edcf099c4b
P10-8,215,E10,543b333b-35f8-4b45-936e-ca0627a391ab
P10-9,216,E10,a397a2f9-04ee-4aa0-ab11-2282ae4cf8c1
P11-1,226,E6,75b7abe6-ad51-4eb0-9a71-8bcc8fdfb9de
P11-10,235,E9,9134566d-abdf-431a-9c35-5d4ca03bbe8b
P11-11,236,E6,edbf9b34-3e83-4687-a885-4e1700e5ed34
P11-12,237,E14,49da14f1-d65f-4288-b423-c645a464ea91
P11-13,238,E6,70060088-7cb9-4f17-b51e-1eff7108616e
P11-14,239,E11,348ee72c-8856-4235-8e44-3898e291c055
P11-15,240,E1,57c7fcfe-524c-4f5c-ba4f-7d04561c09f0
P11-16,241,E2,25cba142-fe51-4f54-b850-4f2e3501c4c5
P11-17,242,E1,8f880f68-965c-44d6-918c-bf47724eb215
P11-18,243,E6,8e0235f8-d72f-450b-be35-7f2f1bd9bc37
P11-19,244,E7,883461ed-28d1-4830-a773-800eb05e888b
P11-2,227,E1,f5292698-2bca-44db-b5f1-3f22ddaaa63d
P11-20,245,E11,94173680-46c8-4c8b-8a00-e9fe48b0476d
P11-3,228,E14,d0b52c07-0b5f-41bf-b635-88e4b1ad1f8c
P11-4,229,E1,5657c348-c0e2-4537-90ed-bb62e481f103
P11-5,230,E6,d811be6f-9304-4ad8-afcb-4ad717ad0959
P11-6,231,E10,18ab7145-16aa-4328-af9f-cd4cb816102a
P11-7,232,E14,4ae06f74-2659-44ca-be50-3c440cb5cbdf
P11-8,233,E1,3690c9ee-d4fd-434f-91ed-b73d6aa60453
P11-9,234,E1,f71e6418-d7fb-4af9-b63a-718001a26186
P12-1,246,E15,59cb0ff4-a719-441b-8ca9-791b1557a911
P12-10,428,E3,2b434cc3-2180-4401-a44f-4b50a9b7ea59
P12-11,249,E13,0986091b-26f6-46de-882b-69c7bccff7ac
P12-12,250,E15,7d2603a1-0020-4827-a52d-06a2e8f0edc5
P12-13,251,E13,9b134ce6-cab8-45cf-886c-3a65385cfe3b
P12-14,252,E10,8293af39-7253-42e7-81c2-378d2ffa83a1
P12-15,253,E10,69f33c83-931e-4d79-b6a5-6154f01b6f8f
P12-16,254,E13,31340edc-8e77-4a30-8833-eea6e3cd6a18
P12-17,255,E15,a333d5ae-9c9d-4707-a717-ce4e3049c5a8
P12-18,256,E13,4deb5c3d-66a7-4ce2-b051-52f48df544de
P12-19,257,E7,a191e303-93a5-4e02-9d2a-2bf7324d2e9d
P12-2,247,E15,f202f732-66e2-414c-99f7-947f95834a6e
P12-20,258,E2,58c4a2ab-677b-48ae-91b7-5e9cccec7a00
P12-3,248,E13,3f85905b-fa85-47e0-b2cf-2af236ac76c8
P12-4,429,E6,fc321c6d-823c-4ba7-9b45-cdc23479d8b7
P12-5,430,E12,45e213a6-29d4-4d2e-a0e5-71dc2a3292c7
P12-6,431,E13,04dbcdc7-82eb-4ab2-a79a-332a40dc4870
P12-7,432,E13,80e6cbe4-3fe3-41c9-939e-79486087fd3a
P12-8,433,E1,8a157d87-ca9f-47df-8f2b-372de12615c4
P12-9,434,E1,4b19a6aa-d219-49fe-8b9b-33a67a0caae0
P13-1,259,E13,8f4265eb-9e71-405d-b653-9d33e07d4195
P13-10,268,E15,462a019a-1305-41e6-86bd-603e2ba801a1
P13-11,269,E3,e6ee1e4a-aa2d-4715-8a5f-41cfc0093515
P13-12,270,E13,da44362a-f087-4244-bd30-953160f1c982
P13-13,271,E7,92f80973-3d83-4c3e-9287-d243ea47a92c
P13-14,272,E1,6704cfc0-a44d-40e8-883a-be7134e65336
P13-15,273,E6,9153cfb6-b68b-4cdb-b45c-feb8353cca20
P13-16,274,E13,d64189ee-61e0-49f4-96c6-7deda78cfbdf
P13-17,275,E4,20c877ee-4349-4c70-acf6-e06634b3448b
P13-18,276,E10,3550d004-2ef7-402a-bad6-d034f06a9615
P13-19,277,E15,6379c289-988f-4411-a00c-759128d4a6ac
P13-2,260,E15,4c05a135-8752-4071-a1f4-f386e4cca82f
P13-20,278,E2,3fd21618-ce59-40fb-89ab-75049b3dfede
P13-3,261,E6,36c2bf80-5596-49ef-a5ff-27ef24c137ff
P13-4,262,E12,8da814d6-5515-44e1-bd34-ad4ba2e8693f
P13-5,263,E1,bacdd0e6-7069-410b-b0b5-aa6b4328f5df
P13-6,264,E10,4f7ac92e-52b3-4c64-88f8-af8a96887b1f
P13-7,265,E10,5c08eed1-39f5-47ca-9606-5b0a3f96d23c
P13-8,266,E2,741c3d46-3d00-48fb-82cc-e73062389a55
P13-9,267,E13,b4933292-31c2-4acf-913e-10d5ede06413
P14-1,279,E2,b9fde336-d33a-4e83-a34e-698349c479b5
P14-10,435,E1,9de6932e-fe35-4254-83d3-97cc41201b76
P14-11,436,E8,80fd284d-509b-4f91-a5d0-0d0199937ac7
P14-12,437,E2,09aace6f-016a-4a16-b979-d004e806587c
P14-13,438,E11,2a72efe2-d07a-466b-8490-8299f06f5566
P14-14,439,E5,0bda51e8-0303-4ab1-8f24-02e1bb1d12ca
P14-15,440,E4,1b3dd806-2fbc-486f-8105-cea9894e1809
P14-16,441,E10,dfe60cb1-593a-489b-a0d4-7c0c8323702e
P14-17,288,E5,c428553b-dbd5-4c63-a537-7e8131af37eb
P14-18,289,E10,f0bf7b1a-3de3-49ed-966d-993b1b5e6555
P14-19,290,E10,56f5ee1c-b3cc-4758-b13a-bd83cb32c840
P14-2,280,E3,4d2b30a3-7c23-4b90-a15b-09fba0913190
P14-20,291,E9,03673f06-0d55-4bd0-9c16-80e851fba9bc
P14-21,292,E10,23e60126-988b-4894-9bde-669687331b7a
P14-22,293,E3,87f4311f-49af-4957-b6de-0c1ffe82af96
P14-3,281,E4,cc535996-f941-4f34-acbc-884e601b6b85
P14-4,282,E4,dfb74772-d18e-44a8-bb28-3d8d7f69840e
P14-5,283,E10,f1d5bc8f-59d4-4fba-8711-0b936b05e99a
P14-6,284,E1,86231b3c-ca8f-429c-8ed0-93678e6f3699
P14-7,285,E10,4759f8fb-7cb8-4257-bc72-707cc91d5057
P14-8,286,E2,8b2050d2-0197-40a2-88e6-995b87238ead
P14-9,287,E1,f2601838-582e-4580-b3c9-7e59864c7527
P15-1,294,E8,3cfb89c0-9d64-4efb-9f12-310b790a3008
P15-10,303,E3,1e94cfaa-9754-483a-a21b-f82cdcd9545e
P15-11,304,E8,4cbf6dda-054f-4a57-87fe-069f1c233912
P15-12,305,E8,11142380-8c07-4488-9360-a94356517e2a
P15-13,306,E14,675d5e77-6d41-491b-9677-5d44907bf4da
P15-14,307,E13,9a085854-54e3-4397-ac0f-da767f5d26c8
P15-15,308,E10,7d5b60ce-ac7a-4f80-890a-ef754e39e458
P15-16,309,E8,692bf1b2-f29a-4fd5-8d91-31b17765c2ca
P15-17,310,E8,494fd97e-87e9-48f0-a6bd-23f095503f83
P15-18,311,E3,dcf4cb45-d1be-4d96-8ee1-bca00f99418a
P15-19,312,E7,8bbb3ebe-ee96-49b7-ac3a-928b6b96a4a8
P15-2,295,E8,d352f908-4483-44a6-88c8-97ee131485ce
P15-20,313,E8,19ac5edf-3e0e-4c59-bb12-4c259e74135f
P15-21,314,E3,d69f1994-5aa5-4d5d-acbd-f7ba13671d5c
P15-22,315,E8,1af7f074-36e6-40c3-912c-178c4ab1c192
P15-3,296,E7,89015644-57ad-481f-a095-ac71e0e78491
P15-4,297,E7,22feeec5-76cc-4b12-9b36-9136079b4c14
P15-5,298,E8,0d031e6f-cd7f-4a15-abe1-43f6b8d548e8
P15-6,299,E3,ffad15a6-7fa3-442b-859f-61d34b9192a1
P15-7,300,E8,60413945-33e4-4b70-adce-7bef6b311a80
P15-8,301,E8,7cd5cdb2-ec2c-4df9-a950-94982066363e
P15-9,302,E8,5b595df5-4831-4e65-8dcd-84fe2dd0cad5
P16-1,316,E9,12617d76-0177-4c13-a77b-85f4804d7c9a
P16-10,325,E9,a4964aec-525d-4008-a492-3efe0b467b55
P16-11,326,E14,10526c1e-5b18-43ac-8f91-dca4d747f8c1
P16-12,327,E9,60a62c99-75cc-41c0-82aa-27ee32a641e0
P16-13,328,E9,8ba32147-ccbd-4399-bf70-189e214c1a84
P16-14,329,E9,1fe98dab-d3b9-4ff5-84fd-91131d57f61a
P16-15,442,E14,0d4d000b-7500-47c9-9641-cabe37726178
P16-16,443,E9,54f4482d-d6fc-45f4-97c0-ba5e3d8bf890
P16-17,444,E5,58c782a7-e214-4a59-835a-11d6169f8dc5
P16-18,445,E9,7d4dc8b9-9647-45ef-88cc-95dbc7e50383
P16-19,446,E9,ba703a9d-3774-49bb-8b7a-417f08d8ddf9
P16-2,317,E9,c9cdde40-9175-4e34-934e-0973d3fdfd6c
P16-20,447,E9,846ac5e4-a5c4-4011-82ff-5ba0e0003c4e
P16-3,318,E9,4f5409ef-9c40-49e8-80bd-f151cae9b1d2
P16-4,319,E9,ca1d94e5-f2cf-4153-8011-dff770948592
P16-5,320,E9,6ca576a0-353e-463c-b9fc-dd40740cf24f
P16-6,321,E9,746613ef-2523-47f3-9154-d5e08bb0ea60
P16-7,322,E14,72625df9-8b0e-4d80-bb49-2dab1742c596
P16-8,323,E9,31cd37c7-ddf1-4139-999a-466b1fcd81c8
P16-9,324,E9,d7475745-9e17-441b-b42d-3c70a521af86
P17-1,448,E13,ccb5a616-d37f-485d-82f3-77788b1e0add
P17-10,338,E10,33353210-4ece-4bcc-8506-c1f32cf1ed04
P17-11,339,E7,76452149-d62f-47d9-833b-e41b59fecf59
P17-12,340,E13,c2f950a8-bfac-4860-b46e-9569c2028696
P17-13,341,E1,16c6e2a2-c72e-40df-a4dd-826edc51c2b1
P17-14,342,E2,38b5b2a5-d0a4-404e-b53f-b6b7e03b47d7
P17-15,343,E13,4050c675-3658-463b-82f6-7f62284715e4
P17-16,344,E11,2d875810-c49b-4e94-8612-7556dc54d71a
P17-17,345,E7,b40a840b-0dfa-49a6-80d6-057b54f22a2c
P17-18,346,E10,8ec88cad-aca6-44d5-854e-640f905cddf9
P17-2,330,E13,fca32c87-ad92-4e91-b51f-9801f1d54b15
P17-3,331,E7,aa8a5b51-1696-478a-8bb3-532d46d11f8d
P17-4,332,E13,984c24a6-2c40-41b8-87c4-4cd2c1c7c57d
P17-5,333,E7,b26a7218-93ae-4c17-814f-44eb2c46ea9a
P17-6,334,E13,dd082e65-b7d5-4757-b493-438c00179a87
P17-7,335,E10,87180389-e28d-4aab-b58e-6ced9747effd
P17-8,336,E14,dc4beb0b-fd70-4aa6-905f-ac2b699867d8
P17-9,337,E7,dadc75bf-76c3-44d9-9d23-6aeb12fd5171
P18-1,347,E5,ec4be8fa-57ed-4023-bb76-4bdaae863a00
P18-10,356,E14,90e68869-33c5-495b-8595-4a7bad86d4c3
P18-11,357,E1,a11115e6-52c6-4e8f-a7d1-00a3f766caa8
P18-12,358,E6,61915238-a3bd-4197-9012-0e3a9da7d64b
P18-13,359,E5,69c75a17-7384-4a09-a9f3-9cee5a12f35e
P18-14,360,E5,0d203f33-b489-4d46-b538-41ce5d65780f
P18-15,361,E14,b913b6c2-0438-4ee5-9ccd-94cd20fd1e89
P18-16,362,E5,96c5dd27-324d-4aaa-83b4-d31290a1e068
P18-17,363,E5,61f633d0-69c8-4ddb-9352-6d6c3395479b
P18-18,364,E5,2cb3b076-bcf9-4bfa-8743-ea136109bbca
P18-19,449,E14,13815870-563d-4abf-92f2-cd6de1ae5895
P18-2,348,E5,be99bcfa-8ea5-4bed-ae36-37ea119e9853
P18-20,450,E14,f04bd7f7-5f70-4647-b4c0-8322d2b09e37
P18-3,349,E5,f35cb409-17d3-46f0-a791-9159a1f8b052
P18-4,350,E5,331357d2-c8d3-4394-aa60-9a53f6620de2
P18-5,351,E5,faec4ca0-7dec-4809-848c-582e53c059cc
P18-6,352,E5,8d9a1885-826f-48d0-9d9e-3167e586b66a
P18-7,353,E5,ac4c8aff-a166-4bd3-9321-35f0548e9dbf
P18-8,354,E6,122719ac-5a84-4a55-87b9-3c20780e90f5
P18-9,355,E6,a987e32f-315d-416b-803b-6990d1e0e440
P19-1,451,E15,947ca903-59d7-41ce-984e-8e7fd08fc225
P19-10,369,E8,49212a29-2acb-438d-8b58-b3a8292dc6c0
P19-11,370,E1,122daa3c-4462-43f4-b0e3-1ed74b9de32e
P19-12,371,E15,e8797d11-be3d-4040-97ce-1f62589f4ddc
P19-13,372,E15,ba311f03-2029-486f-9e59-f1021d8d8852
P19-14,373,E10,878e4df1-9ccc-4cc7-b45b-4633d8195562
P19-15,374,E13,2a5c9035-a00a-4d30-b34a-af23de5182f3
P19-16,375,E8,58fea5f6-e883-48c1-8045-1aed71d5534e
P19-17,376,E15,b2cd019f-913f-4b78-affa-064c4b957431
P19-18,377,E15,6f1b38c1-bea5-4f64-a3f8-e2dcba5cebd5
P19-19,378,E15,338fe26f-fe4d-46d2-a8cf-67d8d1bfdf91
P19-2,452,E15,03c8c9cd-8f14-4e1a-9f31-a406f1d0b80b
P19-20,379,E13,e793dc42-3f81-486e-9594-3a2d41d4c74f
P19-3,453,E15,6fa3819a-34d7-49ba-86c3-1f59bb14033a
P19-4,454,E15,4cdfdfa8-c02f-4753-89a0-7e309bcbd949
P19-5,455,E15,96ebe9a1-e63a-4fd2-80c8-50aa00030a3c
P19-6,365,E15,3c58e1ce-9f66-425e-96b4-9dc11d97d41e
P19-7,366,E13,76fe55ad-a82f-4569-9f11-c0ebf5644f06
